epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,0.0,,5.0955810546875,,
0,19,,0.0,,5.07098388671875,,
0,29,,0.03125,,4.9864501953125,,
0,39,,0.03125,,4.918426513671875,,
0,49,,0.09375,,4.65228271484375,,
0,59,,0.0625,,4.662445068359375,,
0,69,,0.046875,,4.548919677734375,,
0,79,,0.09375,,4.48095703125,,
0,89,,0.125,,4.39068603515625,,
0,99,,0.140625,,4.312744140625,,
0,109,,0.140625,,4.397552490234375,,
0,119,,0.15625,,4.159820556640625,,
0,129,,0.109375,,4.28021240234375,,
0,139,,0.125,,4.243255615234375,,
0,149,,0.140625,,4.1708984375,,
0,159,,0.265625,,3.910308837890625,,
0,169,,0.25,,3.923095703125,,
0,179,,0.34375,,3.69183349609375,,
0,189,,0.265625,,3.862518310546875,,
0,199,,0.34375,,3.689117431640625,,
0,209,,0.34375,,3.6984100341796875,,
0,219,,0.375,,3.4616851806640625,,
0,225,,,,,0.4071573317050934,3.55294132232666
0,225,0.15784728527069092,,4.318101406097412,,,
1,229,,0.515625,,3.3578948974609375,,
1,239,,0.453125,,3.452667236328125,,
1,249,,0.515625,,3.0764007568359375,,
1,259,,0.453125,,3.3660736083984375,,
1,269,,0.421875,,3.228302001953125,,
1,279,,0.359375,,3.4644622802734375,,
1,289,,0.640625,,3.0444488525390625,,
1,299,,0.578125,,3.044036865234375,,
1,309,,0.546875,,3.1072998046875,,
1,319,,0.671875,,2.8133621215820312,,
1,329,,0.578125,,2.9850616455078125,,
1,339,,0.546875,,2.9246978759765625,,
1,349,,0.6875,,2.586639404296875,,
1,359,,0.625,,2.639495849609375,,
1,369,,0.75,,2.50616455078125,,
1,379,,0.625,,2.6247406005859375,,
1,389,,0.765625,,2.5287437438964844,,
1,399,,0.625,,2.5535964965820312,,
1,409,,0.75,,2.3373031616210938,,
1,419,,0.671875,,2.6565685272216797,,
1,429,,0.734375,,2.5072708129882812,,
1,439,,0.734375,,2.4397850036621094,,
1,449,,0.578125,,2.6234588623046875,,
1,451,,,,,0.6529372334480286,2.5117526054382324
1,451,0.5859629511833191,,2.9127213954925537,,,
2,459,,0.671875,,2.4091148376464844,,
2,469,,0.71875,,2.3682937622070312,,
2,479,,0.65625,,2.2021713256835938,,
2,489,,0.734375,,2.293346405029297,,
2,499,,0.765625,,2.2090415954589844,,
2,509,,0.75,,2.2620620727539062,,
2,519,,0.734375,,2.1682186126708984,,
2,529,,0.765625,,2.1735973358154297,,
2,539,,0.828125,,2.033905029296875,,
2,549,,0.71875,,2.1778507232666016,,
2,559,,0.8125,,2.0583534240722656,,
2,569,,0.796875,,1.8512849807739258,,
2,579,,0.859375,,1.7992944717407227,,
2,589,,0.828125,,1.9540290832519531,,
2,599,,0.8125,,1.918975830078125,,
2,609,,0.71875,,1.9206504821777344,,
2,619,,0.8125,,1.6701736450195312,,
2,629,,0.90625,,1.7367687225341797,,
2,639,,0.78125,,1.7529067993164062,,
